size,triangle_ops,cueq,torch
128,0.07876800000667572,0.32385601103305817,0.1438079997897148
192,0.0817599967122078,0.32123199105262756,0.15192000567913055
256,0.0918239988386631,0.33350399136543274,0.20340800285339355
384,0.13040000200271606,0.3271840065717697,0.3420480042695999
512,0.18103999644517899,0.39614400267601013,0.5423519909381866
768,0.2925439924001694,0.6221280097961426,1.0965759754180908
1024,0.5017440021038055,0.9443999826908112,1.8772159814834595
1536,0.9714079797267914,1.850928008556366,nan
2048,1.8431040048599243,3.169792056083679,nan
